RUN_TYPE: PQC 
OPERATOR: P. Assiouras
RUN_BEGIN_TIMESTAMP: 2021-09-27 17:33:50
NAME_LABEL: 37400_049_2-S_HM_EE
KIND_OF_PART: 2S Halfmoon E
KIND_OF_HM_FLUTE_ID: PQC1
KIND_OF_HM_STRUCT_ID: MOS_QUARTER
KIND_OF_HM_SET_ID: Left
KIND_OF_HM_CONFIG_ID: Not Used
PROCEDURE_TYPE: NONE
WAITING_TIME_S: 0.100
AC_FREQ_HZ: 10000
AC_AMPL_V: 0.250
TEMP_SET_DEGC: 22.6
AV_TEMP_DEGC: 22.6

            TIME	     VOLTS	CAPCTNC_PFRD	RESSTNC_MOHM	 TEMP_DEGC	AIR_TEMP_DEGC	    RH_CNT
2021-09-27 05:33:50	-5.000E+0	39.160E+0	3.906E+0	22.600E+0	22.600E+0	25.400E+0
2021-09-27 05:33:51	-4.900E+0	39.440E+0	3.937E+0	22.600E+0	22.600E+0	25.400E+0
2021-09-27 05:33:52	-4.800E+0	39.540E+0	3.891E+0	22.600E+0	22.600E+0	25.400E+0
2021-09-27 05:33:53	-4.700E+0	39.150E+0	3.846E+0	22.600E+0	22.600E+0	25.400E+0
2021-09-27 05:33:55	-4.600E+0	39.390E+0	3.802E+0	22.600E+0	22.600E+0	25.400E+0
2021-09-27 05:33:56	-4.500E+0	39.760E+0	3.731E+0	22.600E+0	22.600E+0	25.400E+0
2021-09-27 05:33:57	-4.400E+0	39.540E+0	3.597E+0	22.600E+0	22.600E+0	25.400E+0
2021-09-27 05:33:58	-4.300E+0	39.760E+0	3.802E+0	22.600E+0	22.600E+0	25.400E+0
2021-09-27 05:33:59	-4.200E+0	39.720E+0	3.546E+0	22.600E+0	22.600E+0	25.400E+0
2021-09-27 05:34:00	-4.100E+0	39.610E+0	3.534E+0	22.600E+0	22.600E+0	25.400E+0
2021-09-27 05:34:01	-4.000E+0	39.220E+0	3.584E+0	22.600E+0	22.600E+0	25.400E+0
2021-09-27 05:34:02	-3.900E+0	39.310E+0	3.559E+0	22.600E+0	22.600E+0	25.400E+0
2021-09-27 05:34:03	-3.800E+0	39.440E+0	3.690E+0	22.600E+0	22.600E+0	25.400E+0
2021-09-27 05:34:04	-3.700E+0	39.470E+0	3.546E+0	22.600E+0	22.600E+0	25.400E+0
2021-09-27 05:34:05	-3.600E+0	39.400E+0	3.521E+0	22.600E+0	22.600E+0	25.400E+0
2021-09-27 05:34:06	-3.500E+0	39.200E+0	3.333E+0	22.600E+0	22.600E+0	25.400E+0
2021-09-27 05:34:07	-3.400E+0	39.050E+0	3.745E+0	22.600E+0	22.600E+0	25.400E+0
2021-09-27 05:34:08	-3.300E+0	39.200E+0	3.390E+0	22.600E+0	22.600E+0	25.400E+0
2021-09-27 05:34:10	-3.200E+0	39.060E+0	3.521E+0	22.600E+0	22.600E+0	25.400E+0
2021-09-27 05:34:11	-3.100E+0	39.110E+0	3.731E+0	22.600E+0	22.600E+0	25.400E+0
2021-09-27 05:34:12	-3.000E+0	39.130E+0	3.546E+0	22.600E+0	22.600E+0	25.400E+0
2021-09-27 05:34:13	-2.900E+0	39.040E+0	3.731E+0	22.600E+0	22.600E+0	25.400E+0
2021-09-27 05:34:14	-2.800E+0	39.120E+0	3.817E+0	22.600E+0	22.600E+0	25.400E+0
2021-09-27 05:34:15	-2.700E+0	39.120E+0	3.390E+0	22.600E+0	22.600E+0	25.400E+0
2021-09-27 05:34:16	-2.600E+0	38.710E+0	3.846E+0	22.600E+0	22.600E+0	25.400E+0
2021-09-27 05:34:17	-2.500E+0	39.000E+0	3.623E+0	22.600E+0	22.600E+0	25.400E+0
2021-09-27 05:34:18	-2.400E+0	38.840E+0	3.546E+0	22.600E+0	22.600E+0	25.400E+0
2021-09-27 05:34:19	-2.300E+0	39.070E+0	3.663E+0	22.600E+0	22.600E+0	25.400E+0
2021-09-27 05:34:20	-2.200E+0	39.120E+0	3.521E+0	22.600E+0	22.600E+0	25.300E+0
2021-09-27 05:34:21	-2.100E+0	39.050E+0	3.663E+0	22.600E+0	22.600E+0	25.400E+0
2021-09-27 05:34:22	-2.000E+0	39.040E+0	3.802E+0	22.600E+0	22.600E+0	25.300E+0
2021-09-27 05:34:23	-1.900E+0	38.910E+0	3.676E+0	22.600E+0	22.600E+0	25.300E+0
2021-09-27 05:34:24	-1.800E+0	38.890E+0	3.571E+0	22.600E+0	22.600E+0	25.300E+0
2021-09-27 05:34:26	-1.700E+0	39.080E+0	3.831E+0	22.600E+0	22.600E+0	25.300E+0
2021-09-27 05:34:27	-1.600E+0	38.860E+0	3.663E+0	22.600E+0	22.600E+0	25.300E+0
2021-09-27 05:34:28	-1.500E+0	38.820E+0	3.521E+0	22.600E+0	22.600E+0	25.300E+0
2021-09-27 05:34:29	-1.400E+0	38.490E+0	3.546E+0	22.600E+0	22.600E+0	25.300E+0
2021-09-27 05:34:30	-1.300E+0	38.540E+0	3.472E+0	22.600E+0	22.600E+0	25.300E+0
2021-09-27 05:34:31	-1.200E+0	38.720E+0	3.460E+0	22.600E+0	22.600E+0	25.300E+0
2021-09-27 05:34:32	-1.100E+0	38.410E+0	3.663E+0	22.600E+0	22.600E+0	25.300E+0
2021-09-27 05:34:33	-1.000E+0	38.470E+0	3.472E+0	22.600E+0	22.600E+0	25.300E+0
2021-09-27 05:34:34	-900.000E-3	38.660E+0	3.876E+0	22.600E+0	22.600E+0	25.300E+0
2021-09-27 05:34:35	-800.000E-3	38.620E+0	3.937E+0	22.600E+0	22.600E+0	25.300E+0
2021-09-27 05:34:36	-700.000E-3	38.380E+0	3.876E+0	22.600E+0	22.600E+0	25.300E+0
2021-09-27 05:34:37	-600.000E-3	38.180E+0	3.521E+0	22.600E+0	22.600E+0	25.300E+0
2021-09-27 05:34:38	-500.000E-3	38.340E+0	3.759E+0	22.600E+0	22.600E+0	25.300E+0
2021-09-27 05:34:39	-400.000E-3	38.550E+0	3.584E+0	22.600E+0	22.600E+0	25.300E+0
2021-09-27 05:34:41	-300.000E-3	37.960E+0	3.584E+0	22.600E+0	22.600E+0	25.300E+0
2021-09-27 05:34:42	-200.000E-3	38.000E+0	3.597E+0	22.600E+0	22.600E+0	25.300E+0
2021-09-27 05:34:43	-100.000E-3	38.260E+0	3.663E+0	22.600E+0	22.600E+0	25.300E+0
2021-09-27 05:34:44	0.000E+0	38.180E+0	4.082E+0	22.600E+0	22.600E+0	25.200E+0
2021-09-27 05:34:45	100.000E-3	37.840E+0	3.650E+0	22.600E+0	22.600E+0	25.200E+0
2021-09-27 05:34:46	200.000E-3	38.130E+0	3.413E+0	22.600E+0	22.600E+0	25.200E+0
2021-09-27 05:34:47	300.000E-3	37.820E+0	3.788E+0	22.600E+0	22.600E+0	25.200E+0
2021-09-27 05:34:48	400.000E-3	37.850E+0	3.953E+0	22.600E+0	22.600E+0	25.200E+0
2021-09-27 05:34:49	500.000E-3	37.490E+0	3.802E+0	22.600E+0	22.600E+0	25.200E+0
2021-09-27 05:34:50	600.000E-3	37.570E+0	3.448E+0	22.600E+0	22.600E+0	25.200E+0
2021-09-27 05:34:51	700.000E-3	37.840E+0	3.584E+0	22.600E+0	22.600E+0	25.200E+0
2021-09-27 05:34:52	800.000E-3	37.320E+0	3.344E+0	22.600E+0	22.600E+0	25.200E+0
2021-09-27 05:34:53	900.000E-3	37.250E+0	3.690E+0	22.600E+0	22.600E+0	25.200E+0
2021-09-27 05:34:54	1.000E+0	37.180E+0	3.984E+0	22.600E+0	22.600E+0	25.200E+0
2021-09-27 05:34:56	1.100E+0	36.850E+0	3.831E+0	22.600E+0	22.600E+0	25.200E+0
2021-09-27 05:34:57	1.200E+0	36.650E+0	3.937E+0	22.600E+0	22.600E+0	25.200E+0
2021-09-27 05:34:58	1.300E+0	36.160E+0	3.937E+0	22.600E+0	22.600E+0	25.200E+0
2021-09-27 05:34:59	1.400E+0	35.790E+0	3.745E+0	22.600E+0	22.600E+0	25.200E+0
2021-09-27 05:35:00	1.500E+0	35.610E+0	3.984E+0	22.600E+0	22.600E+0	25.200E+0
2021-09-27 05:35:01	1.600E+0	34.900E+0	4.098E+0	22.600E+0	22.600E+0	25.200E+0
2021-09-27 05:35:02	1.700E+0	33.800E+0	4.049E+0	22.600E+0	22.600E+0	25.200E+0
2021-09-27 05:35:03	1.800E+0	32.430E+0	3.953E+0	22.600E+0	22.600E+0	25.200E+0
2021-09-27 05:35:04	1.900E+0	29.330E+0	4.854E+0	22.600E+0	22.600E+0	25.200E+0
2021-09-27 05:35:05	2.000E+0	25.380E+0	11.111E+0	22.600E+0	22.600E+0	25.200E+0
2021-09-27 05:35:06	2.100E+0	25.710E+0	34.483E+0	22.600E+0	22.600E+0	25.200E+0
2021-09-27 05:35:07	2.200E+0	27.790E+0	34.483E+0	22.600E+0	22.600E+0	25.200E+0
2021-09-27 05:35:08	2.300E+0	30.970E+0	34.483E+0	22.600E+0	22.600E+0	25.200E+0
2021-09-27 05:35:09	2.400E+0	35.910E+0	15.385E+0	22.600E+0	22.600E+0	25.100E+0
2021-09-27 05:35:10	2.500E+0	42.310E+0	14.286E+0	22.600E+0	22.600E+0	25.200E+0
2021-09-27 05:35:12	2.600E+0	49.870E+0	18.519E+0	22.600E+0	22.600E+0	25.100E+0
2021-09-27 05:35:13	2.700E+0	58.680E+0	17.544E+0	22.600E+0	22.600E+0	25.100E+0
2021-09-27 05:35:14	2.800E+0	64.530E+0	16.667E+0	22.600E+0	22.600E+0	25.100E+0
2021-09-27 05:35:15	2.900E+0	69.210E+0	14.925E+0	22.600E+0	22.600E+0	25.100E+0
2021-09-27 05:35:16	3.000E+0	73.130E+0	12.346E+0	22.600E+0	22.600E+0	25.100E+0
2021-09-27 05:35:17	3.100E+0	76.000E+0	9.091E+0	22.600E+0	22.600E+0	25.100E+0
2021-09-27 05:35:18	3.200E+0	78.320E+0	8.547E+0	22.600E+0	22.600E+0	25.100E+0
2021-09-27 05:35:19	3.300E+0	80.180E+0	15.385E+0	22.600E+0	22.600E+0	25.100E+0
2021-09-27 05:35:20	3.400E+0	81.700E+0	8.403E+0	22.600E+0	22.600E+0	25.100E+0
2021-09-27 05:35:21	3.500E+0	82.330E+0	8.696E+0	22.600E+0	22.600E+0	25.100E+0
2021-09-27 05:35:22	3.600E+0	83.120E+0	9.524E+0	22.600E+0	22.600E+0	25.100E+0
2021-09-27 05:35:23	3.700E+0	83.550E+0	8.264E+0	22.600E+0	22.600E+0	25.100E+0
2021-09-27 05:35:24	3.800E+0	84.040E+0	8.000E+0	22.600E+0	22.600E+0	25.100E+0
2021-09-27 05:35:25	3.900E+0	84.040E+0	8.475E+0	22.600E+0	22.600E+0	25.100E+0
2021-09-27 05:35:27	4.000E+0	84.670E+0	7.576E+0	22.600E+0	22.600E+0	25.100E+0
2021-09-27 05:35:28	4.100E+0	84.730E+0	7.299E+0	22.600E+0	22.600E+0	25.100E+0
2021-09-27 05:35:29	4.200E+0	85.420E+0	8.264E+0	22.600E+0	22.600E+0	25.100E+0
2021-09-27 05:35:30	4.300E+0	84.830E+0	7.752E+0	22.600E+0	22.600E+0	25.100E+0
2021-09-27 05:35:31	4.400E+0	85.260E+0	7.576E+0	22.600E+0	22.600E+0	25.100E+0
2021-09-27 05:35:32	4.500E+0	85.590E+0	7.634E+0	22.600E+0	22.600E+0	25.100E+0
2021-09-27 05:35:33	4.600E+0	85.740E+0	7.353E+0	22.600E+0	22.600E+0	25.100E+0
2021-09-27 05:35:34	4.700E+0	85.740E+0	8.403E+0	22.600E+0	22.600E+0	25.100E+0
2021-09-27 05:35:35	4.800E+0	85.940E+0	7.937E+0	22.600E+0	22.600E+0	25.100E+0
2021-09-27 05:35:36	4.900E+0	86.050E+0	9.346E+0	22.600E+0	22.600E+0	25.000E+0
2021-09-27 05:35:37	5.000E+0	85.810E+0	8.772E+0	22.600E+0	22.600E+0	25.000E+0
2021-09-27 05:35:38	5.100E+0	85.860E+0	7.874E+0	22.600E+0	22.600E+0	25.000E+0
2021-09-27 05:35:39	5.200E+0	86.260E+0	9.901E+0	22.600E+0	22.600E+0	25.000E+0
2021-09-27 05:35:40	5.300E+0	85.940E+0	7.353E+0	22.600E+0	22.600E+0	25.000E+0
2021-09-27 05:35:42	5.400E+0	86.230E+0	6.494E+0	22.600E+0	22.600E+0	25.000E+0
2021-09-27 05:35:43	5.500E+0	86.270E+0	7.353E+0	22.600E+0	22.600E+0	25.000E+0
2021-09-27 05:35:44	5.600E+0	86.580E+0	7.042E+0	22.600E+0	22.600E+0	25.000E+0
2021-09-27 05:35:45	5.700E+0	86.350E+0	7.143E+0	22.600E+0	22.600E+0	25.000E+0
2021-09-27 05:35:46	5.800E+0	86.680E+0	8.929E+0	22.600E+0	22.600E+0	25.000E+0
2021-09-27 05:35:47	5.900E+0	86.820E+0	7.576E+0	22.600E+0	22.600E+0	25.000E+0
2021-09-27 05:35:48	6.000E+0	86.890E+0	8.929E+0	22.600E+0	22.600E+0	25.000E+0
2021-09-27 05:35:49	6.100E+0	86.810E+0	8.000E+0	22.600E+0	22.600E+0	25.000E+0
2021-09-27 05:35:50	6.200E+0	86.930E+0	7.143E+0	22.600E+0	22.600E+0	25.000E+0
2021-09-27 05:35:51	6.300E+0	87.060E+0	9.091E+0	22.600E+0	22.600E+0	25.000E+0
2021-09-27 05:35:52	6.400E+0	87.010E+0	9.615E+0	22.600E+0	22.600E+0	25.000E+0
2021-09-27 05:35:53	6.500E+0	86.740E+0	6.944E+0	22.600E+0	22.600E+0	25.000E+0
2021-09-27 05:35:54	6.600E+0	86.670E+0	10.000E+0	22.600E+0	22.600E+0	25.000E+0
2021-09-27 05:35:55	6.700E+0	86.740E+0	7.874E+0	22.600E+0	22.600E+0	25.000E+0
2021-09-27 05:35:57	6.800E+0	87.120E+0	7.874E+0	22.600E+0	22.600E+0	25.000E+0
2021-09-27 05:35:58	6.900E+0	87.090E+0	8.264E+0	22.600E+0	22.600E+0	25.000E+0
2021-09-27 05:35:59	7.000E+0	87.170E+0	7.246E+0	22.600E+0	22.600E+0	25.000E+0
2021-09-27 05:36:00	7.100E+0	87.350E+0	8.696E+0	22.600E+0	22.600E+0	25.000E+0
2021-09-27 05:36:01	7.200E+0	87.180E+0	8.065E+0	22.600E+0	22.600E+0	24.900E+0
2021-09-27 05:36:02	7.300E+0	87.190E+0	8.547E+0	22.600E+0	22.600E+0	24.900E+0
2021-09-27 05:36:03	7.400E+0	87.060E+0	8.475E+0	22.600E+0	22.600E+0	24.900E+0
2021-09-27 05:36:04	7.500E+0	87.110E+0	7.042E+0	22.600E+0	22.600E+0	24.900E+0
2021-09-27 05:36:05	7.600E+0	87.270E+0	8.130E+0	22.600E+0	22.600E+0	24.900E+0
2021-09-27 05:36:06	7.700E+0	87.280E+0	8.475E+0	22.600E+0	22.600E+0	24.900E+0
2021-09-27 05:36:07	7.800E+0	87.060E+0	7.692E+0	22.700E+0	22.700E+0	24.900E+0
2021-09-27 05:36:08	7.900E+0	86.960E+0	7.519E+0	22.600E+0	22.600E+0	24.900E+0
2021-09-27 05:36:09	8.000E+0	87.200E+0	7.407E+0	22.600E+0	22.600E+0	24.900E+0
2021-09-27 05:36:10	8.100E+0	87.150E+0	6.993E+0	22.600E+0	22.600E+0	24.900E+0
2021-09-27 05:36:12	8.200E+0	87.410E+0	8.000E+0	22.600E+0	22.600E+0	24.900E+0
2021-09-27 05:36:13	8.300E+0	87.320E+0	7.812E+0	22.600E+0	22.600E+0	24.900E+0
2021-09-27 05:36:14	8.400E+0	87.690E+0	6.711E+0	22.600E+0	22.600E+0	24.900E+0
2021-09-27 05:36:15	8.500E+0	87.220E+0	7.752E+0	22.600E+0	22.600E+0	24.900E+0
2021-09-27 05:36:16	8.600E+0	87.270E+0	6.098E+0	22.600E+0	22.600E+0	24.900E+0
2021-09-27 05:36:17	8.700E+0	87.160E+0	8.772E+0	22.600E+0	22.600E+0	24.900E+0
2021-09-27 05:36:18	8.800E+0	87.710E+0	7.042E+0	22.600E+0	22.600E+0	24.900E+0
2021-09-27 05:36:19	8.900E+0	87.200E+0	8.197E+0	22.600E+0	22.600E+0	24.900E+0
2021-09-27 05:36:20	9.000E+0	87.390E+0	8.547E+0	22.600E+0	22.600E+0	24.900E+0
2021-09-27 05:36:21	9.100E+0	87.120E+0	8.130E+0	22.600E+0	22.600E+0	24.900E+0
2021-09-27 05:36:22	9.200E+0	87.380E+0	7.463E+0	22.600E+0	22.600E+0	24.900E+0
2021-09-27 05:36:23	9.300E+0	87.220E+0	9.009E+0	22.600E+0	22.600E+0	24.900E+0
2021-09-27 05:36:24	9.400E+0	87.830E+0	9.346E+0	22.600E+0	22.600E+0	24.900E+0
2021-09-27 05:36:25	9.500E+0	87.080E+0	7.874E+0	22.600E+0	22.600E+0	24.900E+0
2021-09-27 05:36:26	9.600E+0	87.600E+0	9.434E+0	22.600E+0	22.600E+0	24.900E+0
2021-09-27 05:36:28	9.700E+0	87.370E+0	9.524E+0	22.600E+0	22.600E+0	24.900E+0
2021-09-27 05:36:29	9.800E+0	87.620E+0	7.576E+0	22.600E+0	22.600E+0	24.900E+0
2021-09-27 05:36:30	9.900E+0	87.470E+0	6.803E+0	22.600E+0	22.600E+0	24.800E+0
2021-09-27 05:36:31	10.000E+0	87.680E+0	9.091E+0	22.600E+0	22.600E+0	24.800E+0
