RUN_TYPE: PQC 
OPERATOR: A. Kyriakis
RUN_BEGIN_TIMESTAMP: 2021-09-24 15:05:09
NAME_LABEL: 37400_006_2-S_HM_EE
KIND_OF_PART: 2S Halfmoon E
KIND_OF_HM_FLUTE_ID: PQC1
KIND_OF_HM_STRUCT_ID: VDP_STOP
KIND_OF_HM_SET_ID: Left
KIND_OF_HM_CONFIG_ID: Rotated
PROCEDURE_TYPE: 
EQUIPMENT: KEITHLEY 2410
WAITING_TIME_S: 0.200
TEMP_SET_DEGC: 21.6
AV_TEMP_DEGC: 21.6

            TIME	     VOLTS	CURRNT_NAMP	 TEMP_DEGC	AIR_TEMP_DEGC	    RH_CNT
2021-09-24 03:05:09	-1.000E-6	-4.050E+6	21.600E+0	21.600E+0	22.900E+0
2021-09-24 03:05:10	-950.000E-9	-4.020E+6	21.600E+0	21.600E+0	22.900E+0
2021-09-24 03:05:11	-900.000E-9	-3.940E+6	21.600E+0	21.600E+0	22.900E+0
2021-09-24 03:05:12	-850.000E-9	-3.800E+6	21.600E+0	21.600E+0	22.900E+0
2021-09-24 03:05:13	-800.000E-9	-3.600E+6	21.600E+0	21.600E+0	22.900E+0
2021-09-24 03:05:14	-750.000E-9	-3.400E+6	21.600E+0	21.600E+0	22.900E+0
2021-09-24 03:05:15	-700.000E-9	-3.190E+6	21.600E+0	21.600E+0	22.900E+0
2021-09-24 03:05:16	-650.000E-9	-2.990E+6	21.600E+0	21.600E+0	22.900E+0
2021-09-24 03:05:17	-600.000E-9	-2.780E+6	21.600E+0	21.600E+0	22.900E+0
2021-09-24 03:05:18	-550.000E-9	-2.580E+6	21.600E+0	21.600E+0	22.900E+0
2021-09-24 03:05:19	-500.000E-9	-2.370E+6	21.600E+0	21.600E+0	22.900E+0
2021-09-24 03:05:20	-450.000E-9	-2.170E+6	21.600E+0	21.600E+0	22.900E+0
2021-09-24 03:05:21	-400.000E-9	-1.970E+6	21.600E+0	21.600E+0	22.900E+0
2021-09-24 03:05:22	-350.000E-9	-1.770E+6	21.600E+0	21.600E+0	22.900E+0
2021-09-24 03:05:24	-300.000E-9	-1.570E+6	21.600E+0	21.600E+0	22.900E+0
2021-09-24 03:05:25	-250.000E-9	-1.370E+6	21.600E+0	21.600E+0	22.900E+0
2021-09-24 03:05:26	-200.000E-9	-1.170E+6	21.600E+0	21.600E+0	22.900E+0
2021-09-24 03:05:27	-150.000E-9	-960.000E+3	21.600E+0	21.600E+0	22.900E+0
2021-09-24 03:05:28	-100.000E-9	-750.000E+3	21.600E+0	21.600E+0	22.900E+0
2021-09-24 03:05:29	-50.000E-9	-550.000E+3	21.600E+0	21.600E+0	22.900E+0
2021-09-24 03:05:30	0.000E+0	-350.000E+3	21.600E+0	21.600E+0	22.900E+0
2021-09-24 03:05:31	50.000E-9	-150.000E+3	21.600E+0	21.600E+0	22.900E+0
2021-09-24 03:05:32	100.000E-9	50.000E+3	21.600E+0	21.600E+0	22.900E+0
2021-09-24 03:05:33	150.000E-9	250.000E+3	21.600E+0	21.600E+0	22.900E+0
2021-09-24 03:05:34	200.000E-9	450.000E+3	21.600E+0	21.600E+0	22.900E+0
2021-09-24 03:05:35	250.000E-9	650.000E+3	21.600E+0	21.600E+0	22.900E+0
2021-09-24 03:05:36	300.000E-9	850.000E+3	21.600E+0	21.600E+0	22.900E+0
2021-09-24 03:05:38	350.000E-9	1.060E+6	21.600E+0	21.600E+0	22.900E+0
2021-09-24 03:05:39	400.000E-9	1.260E+6	21.600E+0	21.600E+0	22.900E+0
2021-09-24 03:05:40	450.000E-9	1.460E+6	21.600E+0	21.600E+0	22.900E+0
2021-09-24 03:05:41	500.000E-9	1.670E+6	21.600E+0	21.600E+0	22.900E+0
2021-09-24 03:05:42	550.000E-9	1.870E+6	21.600E+0	21.600E+0	22.900E+0
2021-09-24 03:05:43	600.000E-9	2.070E+6	21.600E+0	21.600E+0	22.900E+0
2021-09-24 03:05:44	650.000E-9	2.270E+6	21.600E+0	21.600E+0	22.900E+0
2021-09-24 03:05:45	700.000E-9	2.470E+6	21.600E+0	21.600E+0	22.900E+0
2021-09-24 03:05:46	750.000E-9	2.680E+6	21.600E+0	21.600E+0	22.800E+0
2021-09-24 03:05:47	800.000E-9	2.880E+6	21.600E+0	21.600E+0	22.800E+0
2021-09-24 03:05:48	850.000E-9	3.090E+6	21.600E+0	21.600E+0	22.800E+0
2021-09-24 03:05:49	900.000E-9	3.290E+6	21.600E+0	21.600E+0	22.800E+0
2021-09-24 03:05:50	950.000E-9	3.490E+6	21.600E+0	21.600E+0	22.800E+0
2021-09-24 03:05:51	1.000E-6	3.690E+6	21.600E+0	21.600E+0	22.900E+0
