RUN_TYPE: PQC 
OPERATOR: A. Kyriakis
RUN_BEGIN_TIMESTAMP: 2021-09-24 16:36:10
NAME_LABEL: 37400_006_2-S_HM_EE
KIND_OF_PART: 2S Halfmoon E
KIND_OF_HM_FLUTE_ID: PQC3
KIND_OF_HM_STRUCT_ID: CLOVER_METAL
KIND_OF_HM_SET_ID: Left
KIND_OF_HM_CONFIG_ID: Standard
PROCEDURE_TYPE: 
EQUIPMENT: KEITHLEY 2410
WAITING_TIME_S: 0.200
TEMP_SET_DEGC: 21.2
AV_TEMP_DEGC: 21.2

            TIME	     VOLTS	CURRNT_NAMP	 TEMP_DEGC	AIR_TEMP_DEGC	    RH_CNT
2021-09-24 04:36:10	-100.000E-3	-400.000E+3	21.200E+0	21.200E+0	20.000E+0
2021-09-24 04:36:11	-95.000E-3	-390.000E+3	21.200E+0	21.200E+0	20.000E+0
2021-09-24 04:36:12	-90.000E-3	-390.000E+3	21.200E+0	21.200E+0	20.000E+0
2021-09-24 04:36:13	-85.000E-3	-370.000E+3	21.200E+0	21.200E+0	20.000E+0
2021-09-24 04:36:14	-80.000E-3	-350.000E+3	21.200E+0	21.200E+0	20.000E+0
2021-09-24 04:36:15	-75.000E-3	-330.000E+3	21.200E+0	21.200E+0	20.000E+0
2021-09-24 04:36:16	-70.000E-3	-320.000E+3	21.200E+0	21.200E+0	20.000E+0
2021-09-24 04:36:17	-65.000E-3	-300.000E+3	21.200E+0	21.200E+0	20.000E+0
2021-09-24 04:36:18	-60.000E-3	-280.000E+3	21.200E+0	21.200E+0	20.000E+0
2021-09-24 04:36:19	-55.000E-3	-250.000E+3	21.200E+0	21.200E+0	20.000E+0
2021-09-24 04:36:20	-50.000E-3	-230.000E+3	21.200E+0	21.200E+0	20.000E+0
2021-09-24 04:36:21	-45.000E-3	-210.000E+3	21.200E+0	21.200E+0	20.000E+0
2021-09-24 04:36:22	-40.000E-3	-190.000E+3	21.200E+0	21.200E+0	20.000E+0
2021-09-24 04:36:23	-35.000E-3	-170.000E+3	21.200E+0	21.200E+0	20.000E+0
2021-09-24 04:36:24	-30.000E-3	-160.000E+3	21.200E+0	21.200E+0	20.000E+0
2021-09-24 04:36:26	-25.000E-3	-140.000E+3	21.200E+0	21.200E+0	20.000E+0
2021-09-24 04:36:27	-20.000E-3	-110.000E+3	21.200E+0	21.200E+0	20.000E+0
2021-09-24 04:36:28	-15.000E-3	-90.000E+3	21.200E+0	21.200E+0	20.000E+0
2021-09-24 04:36:29	-10.000E-3	-70.000E+3	21.200E+0	21.200E+0	20.000E+0
2021-09-24 04:36:30	-5.000E-3	-50.000E+3	21.200E+0	21.200E+0	20.000E+0
2021-09-24 04:36:31	0.000E+0	-30.000E+3	21.200E+0	21.200E+0	20.000E+0
2021-09-24 04:36:32	5.000E-3	-10.000E+3	21.200E+0	21.200E+0	20.000E+0
2021-09-24 04:36:33	10.000E-3	-0.000E+0	21.200E+0	21.200E+0	20.000E+0
2021-09-24 04:36:34	15.000E-3	20.000E+3	21.200E+0	21.200E+0	20.000E+0
2021-09-24 04:36:35	20.000E-3	40.000E+3	21.200E+0	21.200E+0	20.000E+0
2021-09-24 04:36:36	25.000E-3	60.000E+3	21.200E+0	21.200E+0	20.000E+0
2021-09-24 04:36:37	30.000E-3	80.000E+3	21.200E+0	21.200E+0	20.000E+0
2021-09-24 04:36:38	35.000E-3	90.000E+3	21.200E+0	21.200E+0	20.000E+0
2021-09-24 04:36:40	40.000E-3	110.000E+3	21.200E+0	21.200E+0	20.000E+0
2021-09-24 04:36:41	45.000E-3	130.000E+3	21.200E+0	21.200E+0	20.000E+0
2021-09-24 04:36:42	50.000E-3	150.000E+3	21.200E+0	21.200E+0	20.000E+0
2021-09-24 04:36:43	55.000E-3	170.000E+3	21.200E+0	21.200E+0	20.000E+0
2021-09-24 04:36:44	60.000E-3	190.000E+3	21.200E+0	21.200E+0	20.000E+0
2021-09-24 04:36:45	65.000E-3	210.000E+3	21.200E+0	21.200E+0	20.000E+0
2021-09-24 04:36:46	70.000E-3	230.000E+3	21.200E+0	21.200E+0	20.000E+0
2021-09-24 04:36:47	75.000E-3	250.000E+3	21.200E+0	21.200E+0	20.000E+0
2021-09-24 04:36:48	80.000E-3	270.000E+3	21.200E+0	21.200E+0	20.000E+0
2021-09-24 04:36:49	85.000E-3	290.000E+3	21.200E+0	21.200E+0	20.000E+0
2021-09-24 04:36:50	90.000E-3	310.000E+3	21.200E+0	21.200E+0	20.000E+0
2021-09-24 04:36:51	95.000E-3	330.000E+3	21.200E+0	21.200E+0	20.000E+0
2021-09-24 04:36:52	100.000E-3	350.000E+3	21.200E+0	21.200E+0	20.000E+0
