RUN_TYPE: PQC 
OPERATOR: A. Kyriakis
RUN_BEGIN_TIMESTAMP: 2021-09-24 14:42:54
NAME_LABEL: 37400_006_2-S_HM_EE
KIND_OF_PART: 2S Halfmoon E
KIND_OF_HM_FLUTE_ID: PQC1
KIND_OF_HM_STRUCT_ID: VDP_STOP
KIND_OF_HM_SET_ID: Right
KIND_OF_HM_CONFIG_ID: Standard
PROCEDURE_TYPE: 
EQUIPMENT: KEITHLEY 2410
WAITING_TIME_S: 0.200
TEMP_SET_DEGC: 21.4
AV_TEMP_DEGC: 21.4

            TIME	     VOLTS	CURRNT_NAMP	 TEMP_DEGC	AIR_TEMP_DEGC	    RH_CNT
2021-09-24 02:42:54	-1.000E-6	-4.140E+6	21.400E+0	21.400E+0	26.700E+0
2021-09-24 02:42:55	-950.000E-9	-4.120E+6	21.400E+0	21.400E+0	26.700E+0
2021-09-24 02:42:56	-900.000E-9	-3.950E+6	21.400E+0	21.400E+0	26.700E+0
2021-09-24 02:42:57	-850.000E-9	-3.830E+6	21.400E+0	21.400E+0	26.700E+0
2021-09-24 02:42:58	-800.000E-9	-3.650E+6	21.400E+0	21.400E+0	26.600E+0
2021-09-24 02:42:59	-750.000E-9	-3.420E+6	21.400E+0	21.400E+0	26.600E+0
2021-09-24 02:43:00	-700.000E-9	-3.210E+6	21.400E+0	21.400E+0	26.600E+0
2021-09-24 02:43:01	-650.000E-9	-2.920E+6	21.400E+0	21.400E+0	26.600E+0
2021-09-24 02:43:02	-600.000E-9	-2.720E+6	21.400E+0	21.400E+0	26.600E+0
2021-09-24 02:43:03	-550.000E-9	-2.560E+6	21.400E+0	21.400E+0	26.600E+0
2021-09-24 02:43:04	-500.000E-9	-2.310E+6	21.400E+0	21.400E+0	26.600E+0
2021-09-24 02:43:05	-450.000E-9	-2.100E+6	21.400E+0	21.400E+0	26.600E+0
2021-09-24 02:43:06	-400.000E-9	-1.830E+6	21.400E+0	21.400E+0	26.600E+0
2021-09-24 02:43:07	-350.000E-9	-1.700E+6	21.400E+0	21.400E+0	26.600E+0
2021-09-24 02:43:09	-300.000E-9	-1.480E+6	21.400E+0	21.400E+0	26.600E+0
2021-09-24 02:43:10	-250.000E-9	-1.340E+6	21.400E+0	21.400E+0	26.600E+0
2021-09-24 02:43:11	-200.000E-9	-1.200E+6	21.400E+0	21.400E+0	26.600E+0
2021-09-24 02:43:12	-150.000E-9	-990.000E+3	21.400E+0	21.400E+0	26.600E+0
2021-09-24 02:43:13	-100.000E-9	-760.000E+3	21.400E+0	21.400E+0	26.600E+0
2021-09-24 02:43:14	-50.000E-9	-520.000E+3	21.400E+0	21.400E+0	26.600E+0
2021-09-24 02:43:15	0.000E+0	-290.000E+3	21.400E+0	21.400E+0	26.600E+0
2021-09-24 02:43:16	50.000E-9	-90.000E+3	21.400E+0	21.400E+0	26.600E+0
2021-09-24 02:43:17	100.000E-9	90.000E+3	21.400E+0	21.400E+0	26.600E+0
2021-09-24 02:43:18	150.000E-9	330.000E+3	21.400E+0	21.400E+0	26.600E+0
2021-09-24 02:43:19	200.000E-9	520.000E+3	21.400E+0	21.400E+0	26.500E+0
2021-09-24 02:43:20	250.000E-9	740.000E+3	21.400E+0	21.400E+0	26.500E+0
2021-09-24 02:43:21	300.000E-9	920.000E+3	21.400E+0	21.400E+0	26.500E+0
2021-09-24 02:43:22	350.000E-9	1.140E+6	21.400E+0	21.400E+0	26.500E+0
2021-09-24 02:43:24	400.000E-9	1.360E+6	21.400E+0	21.400E+0	26.500E+0
2021-09-24 02:43:25	450.000E-9	1.550E+6	21.400E+0	21.400E+0	26.500E+0
2021-09-24 02:43:26	500.000E-9	1.730E+6	21.400E+0	21.400E+0	26.500E+0
2021-09-24 02:43:27	550.000E-9	1.970E+6	21.400E+0	21.400E+0	26.500E+0
2021-09-24 02:43:28	600.000E-9	2.160E+6	21.400E+0	21.400E+0	26.500E+0
2021-09-24 02:43:29	650.000E-9	2.390E+6	21.400E+0	21.400E+0	26.500E+0
2021-09-24 02:43:30	700.000E-9	2.560E+6	21.400E+0	21.400E+0	26.500E+0
2021-09-24 02:43:31	750.000E-9	2.750E+6	21.400E+0	21.400E+0	26.500E+0
2021-09-24 02:43:32	800.000E-9	3.010E+6	21.400E+0	21.400E+0	26.500E+0
2021-09-24 02:43:33	850.000E-9	3.090E+6	21.400E+0	21.400E+0	26.500E+0
2021-09-24 02:43:34	900.000E-9	3.130E+6	21.400E+0	21.400E+0	26.500E+0
2021-09-24 02:43:35	950.000E-9	3.300E+6	21.400E+0	21.400E+0	26.500E+0
2021-09-24 02:43:36	1.000E-6	3.520E+6	21.400E+0	21.400E+0	26.500E+0
