RUN_TYPE: PQC 
OPERATOR: A. Kyriakis
RUN_BEGIN_TIMESTAMP: 2021-09-28 14:20:07
NAME_LABEL: 37400_015_2-S_HM_EE
KIND_OF_PART: 2S Halfmoon E
KIND_OF_HM_FLUTE_ID: PQC2
KIND_OF_HM_STRUCT_ID: LINEWIDTH_STOP
KIND_OF_HM_SET_ID: Left
KIND_OF_HM_CONFIG_ID: Not Used
PROCEDURE_TYPE: 
EQUIPMENT: KEITHLEY 2410
WAITING_TIME_S: 0.200
TEMP_SET_DEGC: 22.6
AV_TEMP_DEGC: 22.6

            TIME	     VOLTS	CURRNT_NAMP	 TEMP_DEGC	AIR_TEMP_DEGC	    RH_CNT
2021-09-28 02:20:07	-1.000E-6	-48.020E+6	22.700E+0	22.700E+0	25.400E+0
2021-09-28 02:20:08	-950.000E-9	-48.010E+6	22.600E+0	22.600E+0	25.400E+0
2021-09-28 02:20:09	-900.000E-9	-47.550E+6	22.600E+0	22.600E+0	25.400E+0
2021-09-28 02:20:10	-850.000E-9	-45.920E+6	22.600E+0	22.600E+0	25.400E+0
2021-09-28 02:20:11	-800.000E-9	-43.570E+6	22.600E+0	22.600E+0	25.400E+0
2021-09-28 02:20:12	-750.000E-9	-40.760E+6	22.600E+0	22.600E+0	25.400E+0
2021-09-28 02:20:13	-700.000E-9	-38.170E+6	22.600E+0	22.600E+0	25.400E+0
2021-09-28 02:20:14	-650.000E-9	-35.810E+6	22.600E+0	22.600E+0	25.400E+0
2021-09-28 02:20:15	-600.000E-9	-33.420E+6	22.600E+0	22.600E+0	25.400E+0
2021-09-28 02:20:16	-550.000E-9	-31.040E+6	22.600E+0	22.600E+0	25.400E+0
2021-09-28 02:20:17	-500.000E-9	-28.650E+6	22.600E+0	22.600E+0	25.400E+0
2021-09-28 02:20:18	-450.000E-9	-26.270E+6	22.600E+0	22.600E+0	25.400E+0
2021-09-28 02:20:19	-400.000E-9	-23.880E+6	22.600E+0	22.600E+0	25.400E+0
2021-09-28 02:20:20	-350.000E-9	-22.420E+6	22.600E+0	22.600E+0	25.400E+0
2021-09-28 02:20:21	-300.000E-9	-19.760E+6	22.600E+0	22.600E+0	25.400E+0
2021-09-28 02:20:23	-250.000E-9	-17.100E+6	22.600E+0	22.600E+0	25.400E+0
2021-09-28 02:20:24	-200.000E-9	-15.400E+6	22.600E+0	22.600E+0	25.400E+0
2021-09-28 02:20:25	-150.000E-9	-13.460E+6	22.600E+0	22.600E+0	25.400E+0
2021-09-28 02:20:26	-100.000E-9	-10.550E+6	22.600E+0	22.600E+0	25.400E+0
2021-09-28 02:20:27	-50.000E-9	-7.620E+6	22.600E+0	22.600E+0	25.400E+0
2021-09-28 02:20:28	0.000E+0	-4.680E+6	22.600E+0	22.600E+0	25.400E+0
2021-09-28 02:20:29	50.000E-9	-2.960E+6	22.600E+0	22.600E+0	25.400E+0
2021-09-28 02:20:30	100.000E-9	-250.000E+3	22.600E+0	22.600E+0	25.400E+0
2021-09-28 02:20:31	150.000E-9	2.440E+6	22.600E+0	22.600E+0	25.400E+0
2021-09-28 02:20:32	200.000E-9	5.140E+6	22.600E+0	22.600E+0	25.400E+0
2021-09-28 02:20:33	250.000E-9	7.850E+6	22.600E+0	22.600E+0	25.400E+0
2021-09-28 02:20:34	300.000E-9	10.330E+6	22.600E+0	22.600E+0	25.400E+0
2021-09-28 02:20:35	350.000E-9	12.820E+6	22.600E+0	22.600E+0	25.400E+0
2021-09-28 02:20:36	400.000E-9	15.320E+6	22.600E+0	22.600E+0	25.300E+0
2021-09-28 02:20:38	450.000E-9	17.810E+6	22.600E+0	22.600E+0	25.300E+0
2021-09-28 02:20:39	500.000E-9	20.300E+6	22.600E+0	22.600E+0	25.300E+0
2021-09-28 02:20:40	550.000E-9	22.800E+6	22.600E+0	22.600E+0	25.300E+0
2021-09-28 02:20:41	600.000E-9	25.300E+6	22.700E+0	22.700E+0	25.300E+0
2021-09-28 02:20:42	650.000E-9	27.820E+6	22.700E+0	22.700E+0	25.300E+0
2021-09-28 02:20:43	700.000E-9	30.330E+6	22.600E+0	22.600E+0	25.300E+0
2021-09-28 02:20:44	750.000E-9	32.850E+6	22.600E+0	22.600E+0	25.300E+0
2021-09-28 02:20:45	800.000E-9	35.370E+6	22.700E+0	22.700E+0	25.300E+0
2021-09-28 02:20:46	850.000E-9	37.890E+6	22.700E+0	22.700E+0	25.300E+0
2021-09-28 02:20:47	900.000E-9	40.420E+6	22.700E+0	22.700E+0	25.300E+0
2021-09-28 02:20:48	950.000E-9	42.960E+6	22.700E+0	22.700E+0	25.300E+0
2021-09-28 02:20:49	1.000E-6	44.480E+6	22.600E+0	22.600E+0	25.300E+0
