RUN_TYPE: PQC 
OPERATOR: A. Kyriakis
RUN_BEGIN_TIMESTAMP: 2021-09-29 09:39:27
NAME_LABEL: 37400_037_2-S_HM_EE
KIND_OF_PART: 2S Halfmoon E
KIND_OF_HM_FLUTE_ID: PQC2
KIND_OF_HM_STRUCT_ID: LinewidthStrip
KIND_OF_HM_SET_ID: Left
KIND_OF_HM_CONFIG_ID: Not Used
PROCEDURE_TYPE: 
EQUIPMENT: KEITHLEY 2410
WAITING_TIME_S: 0.200
TEMP_SET_DEGC: 21.3
AV_TEMP_DEGC: 21.3

            TIME	     VOLTS	CURRNT_NAMP	 TEMP_DEGC	AIR_TEMP_DEGC	    RH_CNT
2021-09-29 09:39:27	-1.000E-3	-130.890E+6	21.300E+0	21.300E+0	23.900E+0
2021-09-29 09:39:28	-950.000E-6	-130.230E+6	21.300E+0	21.300E+0	23.900E+0
2021-09-29 09:39:29	-900.000E-6	-127.610E+6	21.300E+0	21.300E+0	23.900E+0
2021-09-29 09:39:30	-850.000E-6	-123.030E+6	21.300E+0	21.300E+0	23.900E+0
2021-09-29 09:39:31	-800.000E-6	-119.110E+6	21.300E+0	21.300E+0	24.000E+0
2021-09-29 09:39:32	-750.000E-6	-111.910E+6	21.300E+0	21.300E+0	24.000E+0
2021-09-29 09:39:33	-700.000E-6	-104.710E+6	21.300E+0	21.300E+0	23.900E+0
2021-09-29 09:39:34	-650.000E-6	-97.500E+6	21.300E+0	21.300E+0	23.900E+0
2021-09-29 09:39:35	-600.000E-6	-90.300E+6	21.300E+0	21.300E+0	23.900E+0
2021-09-29 09:39:36	-550.000E-6	-86.370E+6	21.300E+0	21.300E+0	23.900E+0
2021-09-29 09:39:37	-500.000E-6	-79.170E+6	21.300E+0	21.300E+0	23.900E+0
2021-09-29 09:39:38	-450.000E-6	-71.980E+6	21.300E+0	21.300E+0	23.900E+0
2021-09-29 09:39:39	-400.000E-6	-64.780E+6	21.300E+0	21.300E+0	23.900E+0
2021-09-29 09:39:40	-350.000E-6	-57.580E+6	21.300E+0	21.300E+0	23.900E+0
2021-09-29 09:39:41	-300.000E-6	-51.030E+6	21.300E+0	21.300E+0	23.900E+0
2021-09-29 09:39:43	-250.000E-6	-44.490E+6	21.300E+0	21.300E+0	23.900E+0
2021-09-29 09:39:44	-200.000E-6	-37.940E+6	21.300E+0	21.300E+0	23.900E+0
2021-09-29 09:39:45	-150.000E-6	-31.400E+6	21.300E+0	21.300E+0	23.900E+0
2021-09-29 09:39:46	-100.000E-6	-24.850E+6	21.300E+0	21.300E+0	23.900E+0
2021-09-29 09:39:47	-50.000E-6	-18.300E+6	21.300E+0	21.300E+0	23.900E+0
2021-09-29 09:39:48	0.000E+0	-11.760E+6	21.300E+0	21.300E+0	23.900E+0
2021-09-29 09:39:49	50.000E-6	-5.210E+6	21.300E+0	21.300E+0	23.900E+0
2021-09-29 09:39:50	100.000E-6	1.330E+6	21.300E+0	21.300E+0	23.900E+0
2021-09-29 09:39:51	150.000E-6	7.870E+6	21.300E+0	21.300E+0	23.900E+0
2021-09-29 09:39:52	200.000E-6	14.420E+6	21.300E+0	21.300E+0	23.900E+0
2021-09-29 09:39:53	250.000E-6	20.970E+6	21.300E+0	21.300E+0	23.900E+0
2021-09-29 09:39:54	300.000E-6	27.510E+6	21.300E+0	21.300E+0	23.900E+0
2021-09-29 09:39:55	350.000E-6	31.440E+6	21.300E+0	21.300E+0	23.900E+0
2021-09-29 09:39:56	400.000E-6	38.640E+6	21.300E+0	21.300E+0	23.900E+0
2021-09-29 09:39:58	450.000E-6	45.840E+6	21.300E+0	21.300E+0	23.900E+0
2021-09-29 09:39:59	500.000E-6	53.040E+6	21.300E+0	21.300E+0	23.900E+0
2021-09-29 09:40:00	550.000E-6	60.240E+6	21.300E+0	21.300E+0	23.900E+0
2021-09-29 09:40:01	600.000E-6	66.790E+6	21.300E+0	21.300E+0	23.900E+0
2021-09-29 09:40:02	650.000E-6	73.330E+6	21.300E+0	21.300E+0	23.900E+0
2021-09-29 09:40:03	700.000E-6	79.880E+6	21.300E+0	21.300E+0	23.900E+0
2021-09-29 09:40:04	750.000E-6	86.430E+6	21.300E+0	21.300E+0	23.900E+0
2021-09-29 09:40:05	800.000E-6	92.970E+6	21.300E+0	21.300E+0	23.900E+0
2021-09-29 09:40:06	850.000E-6	99.520E+6	21.300E+0	21.300E+0	23.900E+0
2021-09-29 09:40:07	900.000E-6	106.070E+6	21.300E+0	21.300E+0	23.900E+0
2021-09-29 09:40:08	950.000E-6	112.610E+6	21.300E+0	21.300E+0	23.900E+0
2021-09-29 09:40:09	1.000E-3	119.160E+6	21.300E+0	21.300E+0	23.900E+0
