RUN_TYPE: PQC 
OPERATOR: P. Assiouras
RUN_BEGIN_TIMESTAMP: 2021-09-27 17:24:56
NAME_LABEL: 37400_049_2-S_HM_EE
KIND_OF_PART: 2S Halfmoon E
KIND_OF_HM_FLUTE_ID: PQC1
KIND_OF_HM_STRUCT_ID: VDP_STRIP
KIND_OF_HM_SET_ID: Left
KIND_OF_HM_CONFIG_ID: Rotated
PROCEDURE_TYPE: 
EQUIPMENT: KEITHLEY 2410
WAITING_TIME_S: 0.200
TEMP_SET_DEGC: 22.6
AV_TEMP_DEGC: 22.6

            TIME	     VOLTS	CURRNT_NAMP	 TEMP_DEGC	AIR_TEMP_DEGC	    RH_CNT
2021-09-27 05:24:56	-1.000E-3	-7.890E+6	22.600E+0	22.600E+0	26.200E+0
2021-09-27 05:24:57	-950.000E-6	-7.760E+6	22.600E+0	22.600E+0	26.200E+0
2021-09-27 05:24:58	-900.000E-6	-7.730E+6	22.600E+0	22.600E+0	26.200E+0
2021-09-27 05:24:59	-850.000E-6	-7.330E+6	22.600E+0	22.600E+0	26.200E+0
2021-09-27 05:25:00	-800.000E-6	-6.910E+6	22.600E+0	22.600E+0	26.300E+0
2021-09-27 05:25:01	-750.000E-6	-6.260E+6	22.600E+0	22.600E+0	26.300E+0
2021-09-27 05:25:02	-700.000E-6	-5.810E+6	22.600E+0	22.600E+0	26.300E+0
2021-09-27 05:25:03	-650.000E-6	-5.430E+6	22.600E+0	22.600E+0	26.300E+0
2021-09-27 05:25:04	-600.000E-6	-5.040E+6	22.600E+0	22.600E+0	26.300E+0
2021-09-27 05:25:05	-550.000E-6	-4.660E+6	22.600E+0	22.600E+0	26.300E+0
2021-09-27 05:25:06	-500.000E-6	-4.280E+6	22.600E+0	22.600E+0	26.300E+0
2021-09-27 05:25:07	-450.000E-6	-3.900E+6	22.600E+0	22.600E+0	26.300E+0
2021-09-27 05:25:08	-400.000E-6	-3.510E+6	22.600E+0	22.600E+0	26.300E+0
2021-09-27 05:25:09	-350.000E-6	-3.130E+6	22.600E+0	22.600E+0	26.400E+0
2021-09-27 05:25:11	-300.000E-6	-2.740E+6	22.600E+0	22.600E+0	26.400E+0
2021-09-27 05:25:12	-250.000E-6	-2.350E+6	22.600E+0	22.600E+0	26.400E+0
2021-09-27 05:25:13	-200.000E-6	-1.610E+6	22.600E+0	22.600E+0	26.400E+0
2021-09-27 05:25:14	-150.000E-6	-1.130E+6	22.600E+0	22.600E+0	26.400E+0
2021-09-27 05:25:15	-100.000E-6	-650.000E+3	22.600E+0	22.600E+0	26.400E+0
2021-09-27 05:25:16	-50.000E-6	-680.000E+3	22.600E+0	22.600E+0	26.400E+0
2021-09-27 05:25:17	0.000E+0	-350.000E+3	22.600E+0	22.600E+0	26.400E+0
2021-09-27 05:25:18	50.000E-6	-120.000E+3	22.600E+0	22.600E+0	26.400E+0
2021-09-27 05:25:19	100.000E-6	360.000E+3	22.600E+0	22.600E+0	26.400E+0
2021-09-27 05:25:20	150.000E-6	930.000E+3	22.600E+0	22.600E+0	26.400E+0
2021-09-27 05:25:21	200.000E-6	1.390E+6	22.600E+0	22.600E+0	26.400E+0
2021-09-27 05:25:22	250.000E-6	1.790E+6	22.600E+0	22.600E+0	26.400E+0
2021-09-27 05:25:23	300.000E-6	2.000E+6	22.600E+0	22.600E+0	26.400E+0
2021-09-27 05:25:25	350.000E-6	2.200E+6	22.600E+0	22.600E+0	26.400E+0
2021-09-27 05:25:26	400.000E-6	2.480E+6	22.600E+0	22.600E+0	26.500E+0
2021-09-27 05:25:27	450.000E-6	2.880E+6	22.600E+0	22.600E+0	26.400E+0
2021-09-27 05:25:28	500.000E-6	3.280E+6	22.600E+0	22.600E+0	26.500E+0
2021-09-27 05:25:29	550.000E-6	3.520E+6	22.600E+0	22.600E+0	26.500E+0
2021-09-27 05:25:30	600.000E-6	4.050E+6	22.600E+0	22.600E+0	26.500E+0
2021-09-27 05:25:31	650.000E-6	4.380E+6	22.600E+0	22.600E+0	26.500E+0
2021-09-27 05:25:32	700.000E-6	4.580E+6	22.600E+0	22.600E+0	26.500E+0
2021-09-27 05:25:33	750.000E-6	4.810E+6	22.600E+0	22.600E+0	26.600E+0
2021-09-27 05:25:34	800.000E-6	4.930E+6	22.600E+0	22.600E+0	26.500E+0
2021-09-27 05:25:35	850.000E-6	5.290E+6	22.600E+0	22.600E+0	26.600E+0
2021-09-27 05:25:36	900.000E-6	5.780E+6	22.600E+0	22.600E+0	26.600E+0
2021-09-27 05:25:37	950.000E-6	5.960E+6	22.600E+0	22.600E+0	26.600E+0
2021-09-27 05:25:38	1.000E-3	6.610E+6	22.600E+0	22.600E+0	26.600E+0
