RUN_TYPE: PQC 
OPERATOR: A. Kyriakis
RUN_BEGIN_TIMESTAMP: 2021-09-27 10:41:47
NAME_LABEL: 37400_006_2-S_HM_WW
KIND_OF_PART: 2S Halfmoon W
KIND_OF_HM_FLUTE_ID: PQC1
KIND_OF_HM_STRUCT_ID: MOS_QUARTER
KIND_OF_HM_SET_ID: Left
KIND_OF_HM_CONFIG_ID: Not Used
PROCEDURE_TYPE: NONE
WAITING_TIME_S: 0.100
AC_FREQ_HZ: 10000
AC_AMPL_V: 0.250
TEMP_SET_DEGC: 21.0
AV_TEMP_DEGC: 21.0

            TIME	     VOLTS	CAPCTNC_PFRD	RESSTNC_MOHM	 TEMP_DEGC	AIR_TEMP_DEGC	    RH_CNT
2021-09-27 10:41:47	-5.000E+0	39.050E+0	3.704E+0	21.000E+0	21.000E+0	24.800E+0
2021-09-27 10:41:49	-4.900E+0	39.220E+0	3.559E+0	21.000E+0	21.000E+0	24.900E+0
2021-09-27 10:41:51	-4.800E+0	39.130E+0	3.597E+0	21.000E+0	21.000E+0	24.800E+0
2021-09-27 10:41:52	-4.700E+0	39.210E+0	3.401E+0	21.000E+0	21.000E+0	24.800E+0
2021-09-27 10:41:53	-4.600E+0	38.700E+0	2.747E+0	21.000E+0	21.000E+0	24.800E+0
2021-09-27 10:41:54	-4.500E+0	38.810E+0	2.933E+0	21.000E+0	21.000E+0	24.800E+0
2021-09-27 10:41:55	-4.400E+0	39.280E+0	2.857E+0	21.000E+0	21.000E+0	24.800E+0
2021-09-27 10:41:56	-4.300E+0	38.800E+0	3.067E+0	21.000E+0	21.000E+0	24.800E+0
2021-09-27 10:41:57	-4.200E+0	38.790E+0	2.882E+0	21.000E+0	21.000E+0	24.900E+0
2021-09-27 10:41:58	-4.100E+0	38.720E+0	3.040E+0	21.000E+0	21.000E+0	24.800E+0
2021-09-27 10:41:59	-4.000E+0	39.060E+0	2.793E+0	21.000E+0	21.000E+0	24.800E+0
2021-09-27 10:42:00	-3.900E+0	38.850E+0	2.882E+0	21.000E+0	21.000E+0	24.800E+0
2021-09-27 10:42:01	-3.800E+0	38.920E+0	2.976E+0	21.000E+0	21.000E+0	24.800E+0
2021-09-27 10:42:02	-3.700E+0	38.680E+0	3.135E+0	21.000E+0	21.000E+0	24.800E+0
2021-09-27 10:42:03	-3.600E+0	39.030E+0	2.865E+0	21.000E+0	21.000E+0	24.800E+0
2021-09-27 10:42:04	-3.500E+0	38.870E+0	2.786E+0	21.000E+0	21.000E+0	24.800E+0
2021-09-27 10:42:06	-3.400E+0	38.490E+0	2.786E+0	21.000E+0	21.000E+0	24.800E+0
2021-09-27 10:42:07	-3.300E+0	38.690E+0	2.899E+0	21.000E+0	21.000E+0	24.800E+0
2021-09-27 10:42:08	-3.200E+0	39.300E+0	2.967E+0	21.000E+0	21.000E+0	24.800E+0
2021-09-27 10:42:09	-3.100E+0	38.670E+0	2.801E+0	21.000E+0	21.000E+0	24.800E+0
2021-09-27 10:42:10	-3.000E+0	38.600E+0	2.933E+0	21.000E+0	21.000E+0	24.800E+0
2021-09-27 10:42:11	-2.900E+0	38.670E+0	2.924E+0	21.000E+0	21.000E+0	24.800E+0
2021-09-27 10:42:12	-2.800E+0	38.670E+0	2.817E+0	21.000E+0	21.000E+0	24.800E+0
2021-09-27 10:42:13	-2.700E+0	38.900E+0	2.865E+0	21.000E+0	21.000E+0	24.800E+0
2021-09-27 10:42:14	-2.600E+0	38.600E+0	2.786E+0	21.000E+0	21.000E+0	24.800E+0
2021-09-27 10:42:15	-2.500E+0	38.720E+0	3.185E+0	21.000E+0	21.000E+0	24.800E+0
2021-09-27 10:42:16	-2.400E+0	38.650E+0	3.003E+0	21.000E+0	21.000E+0	24.800E+0
2021-09-27 10:42:17	-2.300E+0	38.610E+0	2.833E+0	21.000E+0	21.000E+0	24.800E+0
2021-09-27 10:42:18	-2.200E+0	38.420E+0	2.933E+0	21.000E+0	21.000E+0	24.800E+0
2021-09-27 10:42:19	-2.100E+0	38.170E+0	2.732E+0	21.000E+0	21.000E+0	24.800E+0
2021-09-27 10:42:20	-2.000E+0	38.510E+0	3.155E+0	21.000E+0	21.000E+0	24.800E+0
2021-09-27 10:42:22	-1.900E+0	38.650E+0	2.941E+0	21.000E+0	21.000E+0	24.800E+0
2021-09-27 10:42:23	-1.800E+0	38.720E+0	2.874E+0	21.000E+0	21.000E+0	24.800E+0
2021-09-27 10:42:24	-1.700E+0	38.510E+0	2.882E+0	21.000E+0	21.000E+0	24.800E+0
2021-09-27 10:42:25	-1.600E+0	38.430E+0	2.825E+0	21.000E+0	21.000E+0	24.800E+0
2021-09-27 10:42:26	-1.500E+0	38.200E+0	3.003E+0	21.000E+0	21.000E+0	24.800E+0
2021-09-27 10:42:27	-1.400E+0	38.170E+0	3.077E+0	21.000E+0	21.000E+0	24.800E+0
2021-09-27 10:42:28	-1.300E+0	38.340E+0	3.185E+0	21.000E+0	21.000E+0	24.800E+0
2021-09-27 10:42:29	-1.200E+0	38.400E+0	3.058E+0	21.000E+0	21.000E+0	24.800E+0
2021-09-27 10:42:30	-1.100E+0	37.590E+0	3.077E+0	21.000E+0	21.000E+0	24.800E+0
2021-09-27 10:42:31	-1.000E+0	37.540E+0	3.003E+0	21.000E+0	21.000E+0	24.800E+0
2021-09-27 10:42:32	-900.000E-3	38.010E+0	3.003E+0	21.000E+0	21.000E+0	24.800E+0
2021-09-27 10:42:33	-800.000E-3	38.150E+0	2.833E+0	21.000E+0	21.000E+0	24.800E+0
2021-09-27 10:42:34	-700.000E-3	37.730E+0	2.933E+0	21.000E+0	21.000E+0	24.800E+0
2021-09-27 10:42:35	-600.000E-3	37.960E+0	3.086E+0	21.000E+0	21.000E+0	24.800E+0
2021-09-27 10:42:37	-500.000E-3	37.310E+0	2.865E+0	21.000E+0	21.000E+0	24.800E+0
2021-09-27 10:42:38	-400.000E-3	37.580E+0	2.890E+0	21.000E+0	21.000E+0	24.800E+0
2021-09-27 10:42:39	-300.000E-3	38.000E+0	3.185E+0	21.000E+0	21.000E+0	24.800E+0
2021-09-27 10:42:40	-200.000E-3	37.900E+0	3.175E+0	21.000E+0	21.000E+0	24.800E+0
2021-09-27 10:42:41	-100.000E-3	37.730E+0	2.849E+0	21.000E+0	21.000E+0	24.800E+0
2021-09-27 10:42:42	0.000E+0	37.740E+0	3.021E+0	21.000E+0	21.000E+0	24.800E+0
2021-09-27 10:42:43	100.000E-3	37.360E+0	3.012E+0	21.000E+0	21.000E+0	24.800E+0
2021-09-27 10:42:44	200.000E-3	37.160E+0	3.185E+0	21.000E+0	21.000E+0	24.800E+0
2021-09-27 10:42:45	300.000E-3	37.110E+0	3.021E+0	21.000E+0	21.000E+0	24.800E+0
2021-09-27 10:42:46	400.000E-3	37.350E+0	3.077E+0	21.000E+0	21.000E+0	24.700E+0
2021-09-27 10:42:47	500.000E-3	37.400E+0	2.890E+0	21.000E+0	21.000E+0	24.700E+0
2021-09-27 10:42:48	600.000E-3	36.920E+0	2.801E+0	21.000E+0	21.000E+0	24.700E+0
2021-09-27 10:42:49	700.000E-3	36.540E+0	2.915E+0	21.000E+0	21.000E+0	24.700E+0
2021-09-27 10:42:50	800.000E-3	36.580E+0	3.049E+0	21.000E+0	21.000E+0	24.700E+0
2021-09-27 10:42:52	900.000E-3	36.730E+0	3.226E+0	21.000E+0	21.000E+0	24.700E+0
2021-09-27 10:42:53	1.000E+0	35.970E+0	3.268E+0	21.000E+0	21.000E+0	24.700E+0
2021-09-27 10:42:54	1.100E+0	36.020E+0	2.950E+0	21.000E+0	21.000E+0	24.700E+0
2021-09-27 10:42:55	1.200E+0	35.920E+0	3.175E+0	21.000E+0	21.000E+0	24.700E+0
2021-09-27 10:42:56	1.300E+0	35.370E+0	3.012E+0	21.000E+0	21.000E+0	24.700E+0
2021-09-27 10:42:57	1.400E+0	35.410E+0	3.145E+0	21.000E+0	21.000E+0	24.700E+0
2021-09-27 10:42:58	1.500E+0	34.860E+0	3.115E+0	21.000E+0	21.000E+0	24.700E+0
2021-09-27 10:42:59	1.600E+0	34.310E+0	3.115E+0	21.000E+0	21.000E+0	24.700E+0
2021-09-27 10:43:00	1.700E+0	34.000E+0	3.236E+0	21.000E+0	21.000E+0	24.700E+0
2021-09-27 10:43:01	1.800E+0	32.340E+0	3.401E+0	21.000E+0	21.000E+0	24.700E+0
2021-09-27 10:43:02	1.900E+0	29.950E+0	4.405E+0	21.000E+0	21.000E+0	24.700E+0
2021-09-27 10:43:03	2.000E+0	26.580E+0	8.475E+0	21.000E+0	21.000E+0	24.700E+0
2021-09-27 10:43:04	2.100E+0	25.610E+0	12.987E+0	21.000E+0	21.000E+0	24.700E+0
2021-09-27 10:43:05	2.200E+0	27.100E+0	22.222E+0	21.000E+0	21.000E+0	24.700E+0
2021-09-27 10:43:06	2.300E+0	30.200E+0	13.333E+0	21.000E+0	21.000E+0	24.700E+0
2021-09-27 10:43:08	2.400E+0	34.790E+0	11.628E+0	21.000E+0	21.000E+0	24.700E+0
2021-09-27 10:43:09	2.500E+0	39.990E+0	11.494E+0	21.000E+0	21.000E+0	24.700E+0
2021-09-27 10:43:10	2.600E+0	46.530E+0	9.901E+0	21.000E+0	21.000E+0	24.700E+0
2021-09-27 10:43:11	2.700E+0	54.040E+0	20.408E+0	21.000E+0	21.000E+0	24.700E+0
2021-09-27 10:43:12	2.800E+0	59.670E+0	14.925E+0	21.000E+0	21.000E+0	24.700E+0
2021-09-27 10:43:13	2.900E+0	64.040E+0	9.615E+0	21.000E+0	21.000E+0	24.700E+0
2021-09-27 10:43:14	3.000E+0	67.700E+0	16.949E+0	21.000E+0	21.000E+0	24.700E+0
2021-09-27 10:43:15	3.100E+0	70.890E+0	10.989E+0	21.000E+0	21.000E+0	24.700E+0
2021-09-27 10:43:16	3.200E+0	73.850E+0	9.709E+0	21.000E+0	21.000E+0	24.700E+0
2021-09-27 10:43:17	3.300E+0	76.380E+0	8.000E+0	21.000E+0	21.000E+0	24.700E+0
2021-09-27 10:43:18	3.400E+0	78.880E+0	9.615E+0	21.000E+0	21.000E+0	24.700E+0
2021-09-27 10:43:19	3.500E+0	79.470E+0	8.000E+0	21.000E+0	21.000E+0	24.700E+0
2021-09-27 10:43:20	3.600E+0	80.310E+0	10.101E+0	21.000E+0	21.000E+0	24.700E+0
2021-09-27 10:43:21	3.700E+0	81.230E+0	10.204E+0	21.000E+0	21.000E+0	24.700E+0
2021-09-27 10:43:23	3.800E+0	81.780E+0	7.692E+0	21.000E+0	21.000E+0	24.700E+0
2021-09-27 10:43:24	3.900E+0	82.250E+0	8.333E+0	21.000E+0	21.000E+0	24.700E+0
2021-09-27 10:43:25	4.000E+0	82.740E+0	8.000E+0	21.000E+0	21.000E+0	24.700E+0
2021-09-27 10:43:26	4.100E+0	82.800E+0	7.752E+0	21.000E+0	21.000E+0	24.700E+0
2021-09-27 10:43:27	4.200E+0	82.850E+0	10.753E+0	21.000E+0	21.000E+0	24.700E+0
2021-09-27 10:43:28	4.300E+0	83.460E+0	7.692E+0	21.000E+0	21.000E+0	24.700E+0
2021-09-27 10:43:29	4.400E+0	83.540E+0	7.519E+0	21.000E+0	21.000E+0	24.700E+0
2021-09-27 10:43:30	4.500E+0	83.290E+0	10.417E+0	21.000E+0	21.000E+0	24.700E+0
2021-09-27 10:43:31	4.600E+0	83.610E+0	7.874E+0	21.000E+0	21.000E+0	24.600E+0
2021-09-27 10:43:32	4.700E+0	83.680E+0	7.874E+0	21.000E+0	21.000E+0	24.600E+0
2021-09-27 10:43:33	4.800E+0	83.820E+0	7.143E+0	21.000E+0	21.000E+0	24.600E+0
2021-09-27 10:43:34	4.900E+0	84.190E+0	7.692E+0	21.000E+0	21.000E+0	24.700E+0
