RUN_TYPE: PQC 
OPERATOR: A. Kyriakis
RUN_BEGIN_TIMESTAMP: 2021-09-28 12:48:54
NAME_LABEL: 37400_003_2-S_HM_WW
KIND_OF_PART: 2S Halfmoon W
KIND_OF_HM_FLUTE_ID: PQC3
KIND_OF_HM_STRUCT_ID: VDP_BULK
KIND_OF_HM_SET_ID: Left
KIND_OF_HM_CONFIG_ID: Rotated
PROCEDURE_TYPE: 
EQUIPMENT: KEITHLEY 2410
WAITING_TIME_S: 0.200
TEMP_SET_DEGC: 22.5
AV_TEMP_DEGC: 22.5

            TIME	     VOLTS	CURRNT_NAMP	 TEMP_DEGC	AIR_TEMP_DEGC	    RH_CNT
2021-09-28 12:48:54	-2.000E-6	-33.840E+6	22.500E+0	22.500E+0	25.000E+0
2021-09-28 12:48:55	-1.900E-6	-33.840E+6	22.500E+0	22.500E+0	25.000E+0
2021-09-28 12:48:56	-1.800E-6	-33.080E+6	22.500E+0	22.500E+0	25.000E+0
2021-09-28 12:48:57	-1.700E-6	-31.740E+6	22.500E+0	22.500E+0	25.000E+0
2021-09-28 12:48:58	-1.600E-6	-29.800E+6	22.500E+0	22.500E+0	25.000E+0
2021-09-28 12:48:59	-1.500E-6	-27.660E+6	22.500E+0	22.500E+0	25.000E+0
2021-09-28 12:49:00	-1.400E-6	-26.480E+6	22.500E+0	22.500E+0	25.000E+0
2021-09-28 12:49:01	-1.300E-6	-24.370E+6	22.500E+0	22.500E+0	25.000E+0
2021-09-28 12:49:02	-1.200E-6	-22.340E+6	22.500E+0	22.500E+0	25.000E+0
2021-09-28 12:49:03	-1.100E-6	-20.400E+6	22.500E+0	22.500E+0	24.900E+0
2021-09-28 12:49:04	-1.000E-6	-19.200E+6	22.500E+0	22.500E+0	24.900E+0
2021-09-28 12:49:05	-900.000E-9	-17.400E+6	22.500E+0	22.500E+0	24.900E+0
2021-09-28 12:49:06	-800.000E-9	-16.270E+6	22.500E+0	22.500E+0	24.900E+0
2021-09-28 12:49:07	-700.000E-9	-14.380E+6	22.500E+0	22.500E+0	24.900E+0
2021-09-28 12:49:08	-600.000E-9	-12.500E+6	22.500E+0	22.500E+0	24.900E+0
2021-09-28 12:49:10	-500.000E-9	-10.780E+6	22.500E+0	22.500E+0	24.900E+0
2021-09-28 12:49:11	-400.000E-9	-9.060E+6	22.500E+0	22.500E+0	24.900E+0
2021-09-28 12:49:12	-300.000E-9	-7.500E+6	22.500E+0	22.500E+0	24.900E+0
2021-09-28 12:49:13	-200.000E-9	-5.940E+6	22.500E+0	22.500E+0	24.900E+0
2021-09-28 12:49:14	-100.000E-9	-4.380E+6	22.500E+0	22.500E+0	24.900E+0
2021-09-28 12:49:15	0.000E+0	-2.810E+6	22.500E+0	22.500E+0	24.900E+0
2021-09-28 12:49:16	100.000E-9	-1.870E+6	22.500E+0	22.500E+0	24.900E+0
2021-09-28 12:49:17	200.000E-9	-150.000E+3	22.500E+0	22.500E+0	24.900E+0
2021-09-28 12:49:18	300.000E-9	1.570E+6	22.500E+0	22.500E+0	24.900E+0
2021-09-28 12:49:19	400.000E-9	3.300E+6	22.500E+0	22.500E+0	24.900E+0
2021-09-28 12:49:20	500.000E-9	5.030E+6	22.500E+0	22.500E+0	24.900E+0
2021-09-28 12:49:21	600.000E-9	6.610E+6	22.500E+0	22.500E+0	24.900E+0
2021-09-28 12:49:22	700.000E-9	8.190E+6	22.500E+0	22.500E+0	24.900E+0
2021-09-28 12:49:23	800.000E-9	9.770E+6	22.500E+0	22.500E+0	24.900E+0
2021-09-28 12:49:25	900.000E-9	11.360E+6	22.500E+0	22.500E+0	24.900E+0
2021-09-28 12:49:26	1.000E-6	12.940E+6	22.500E+0	22.500E+0	24.900E+0
2021-09-28 12:49:27	1.100E-6	14.530E+6	22.500E+0	22.500E+0	24.900E+0
2021-09-28 12:49:28	1.200E-6	16.120E+6	22.500E+0	22.500E+0	24.900E+0
2021-09-28 12:49:29	1.300E-6	17.710E+6	22.500E+0	22.500E+0	24.900E+0
2021-09-28 12:49:30	1.400E-6	19.310E+6	22.500E+0	22.500E+0	24.900E+0
2021-09-28 12:49:31	1.500E-6	20.900E+6	22.500E+0	22.500E+0	24.900E+0
2021-09-28 12:49:32	1.600E-6	21.860E+6	22.500E+0	22.500E+0	24.900E+0
2021-09-28 12:49:33	1.700E-6	23.620E+6	22.500E+0	22.500E+0	24.900E+0
2021-09-28 12:49:34	1.800E-6	24.740E+6	22.500E+0	22.500E+0	24.900E+0
2021-09-28 12:49:35	1.900E-6	26.660E+6	22.500E+0	22.500E+0	24.900E+0
2021-09-28 12:49:36	2.000E-6	27.950E+6	22.500E+0	22.500E+0	24.900E+0
