RUN_TYPE: PQC 
OPERATOR: A. Kyriakis
RUN_BEGIN_TIMESTAMP: 2021-09-27 15:24:55
NAME_LABEL: 37400_019_2-S_HM_WW
KIND_OF_PART: 2S Halfmoon W
KIND_OF_HM_FLUTE_ID: PQC1
KIND_OF_HM_STRUCT_ID: VDP_STOP
KIND_OF_HM_SET_ID: Right
KIND_OF_HM_CONFIG_ID: Standard
PROCEDURE_TYPE: 
EQUIPMENT: KEITHLEY 2410
WAITING_TIME_S: 0.200
TEMP_SET_DEGC: 22.4
AV_TEMP_DEGC: 22.4

            TIME	     VOLTS	CURRNT_NAMP	 TEMP_DEGC	AIR_TEMP_DEGC	    RH_CNT
2021-09-27 03:24:55	-1.000E-6	-4.090E+6	22.400E+0	22.400E+0	23.500E+0
2021-09-27 03:24:56	-950.000E-9	-4.070E+6	22.400E+0	22.400E+0	23.500E+0
2021-09-27 03:24:57	-900.000E-9	-3.970E+6	22.400E+0	22.400E+0	23.500E+0
2021-09-27 03:24:58	-850.000E-9	-3.890E+6	22.400E+0	22.400E+0	23.500E+0
2021-09-27 03:24:59	-800.000E-9	-3.690E+6	22.400E+0	22.400E+0	23.500E+0
2021-09-27 03:25:00	-750.000E-9	-3.540E+6	22.400E+0	22.400E+0	23.500E+0
2021-09-27 03:25:01	-700.000E-9	-3.310E+6	22.400E+0	22.400E+0	23.500E+0
2021-09-27 03:25:02	-650.000E-9	-3.060E+6	22.400E+0	22.400E+0	23.500E+0
2021-09-27 03:25:03	-600.000E-9	-2.840E+6	22.500E+0	22.500E+0	23.500E+0
2021-09-27 03:25:04	-550.000E-9	-2.610E+6	22.400E+0	22.400E+0	23.500E+0
2021-09-27 03:25:05	-500.000E-9	-2.390E+6	22.400E+0	22.400E+0	23.500E+0
2021-09-27 03:25:06	-450.000E-9	-2.180E+6	22.400E+0	22.400E+0	23.500E+0
2021-09-27 03:25:07	-400.000E-9	-2.060E+6	22.400E+0	22.400E+0	23.500E+0
2021-09-27 03:25:08	-350.000E-9	-1.840E+6	22.400E+0	22.400E+0	23.500E+0
2021-09-27 03:25:09	-300.000E-9	-1.620E+6	22.400E+0	22.400E+0	23.500E+0
2021-09-27 03:25:11	-250.000E-9	-1.390E+6	22.400E+0	22.400E+0	23.500E+0
2021-09-27 03:25:12	-200.000E-9	-1.160E+6	22.400E+0	22.400E+0	23.500E+0
2021-09-27 03:25:13	-150.000E-9	-950.000E+3	22.400E+0	22.400E+0	23.500E+0
2021-09-27 03:25:14	-100.000E-9	-740.000E+3	22.400E+0	22.400E+0	23.500E+0
2021-09-27 03:25:15	-50.000E-9	-530.000E+3	22.400E+0	22.400E+0	23.500E+0
2021-09-27 03:25:16	0.000E+0	-320.000E+3	22.400E+0	22.400E+0	23.500E+0
2021-09-27 03:25:17	50.000E-9	-120.000E+3	22.400E+0	22.400E+0	23.500E+0
2021-09-27 03:25:18	100.000E-9	70.000E+3	22.400E+0	22.400E+0	23.500E+0
2021-09-27 03:25:19	150.000E-9	270.000E+3	22.400E+0	22.400E+0	23.500E+0
2021-09-27 03:25:20	200.000E-9	470.000E+3	22.400E+0	22.400E+0	23.500E+0
2021-09-27 03:25:21	250.000E-9	690.000E+3	22.400E+0	22.400E+0	23.500E+0
2021-09-27 03:25:22	300.000E-9	890.000E+3	22.400E+0	22.400E+0	23.500E+0
2021-09-27 03:25:23	350.000E-9	1.100E+6	22.400E+0	22.400E+0	23.500E+0
2021-09-27 03:25:24	400.000E-9	1.300E+6	22.400E+0	22.400E+0	23.500E+0
2021-09-27 03:25:26	450.000E-9	1.500E+6	22.400E+0	22.400E+0	23.500E+0
2021-09-27 03:25:27	500.000E-9	1.710E+6	22.400E+0	22.400E+0	23.500E+0
2021-09-27 03:25:28	550.000E-9	1.840E+6	22.400E+0	22.400E+0	23.500E+0
2021-09-27 03:25:29	600.000E-9	2.060E+6	22.400E+0	22.400E+0	23.500E+0
2021-09-27 03:25:30	650.000E-9	2.290E+6	22.400E+0	22.400E+0	23.500E+0
2021-09-27 03:25:31	700.000E-9	2.510E+6	22.400E+0	22.400E+0	23.500E+0
2021-09-27 03:25:32	750.000E-9	2.740E+6	22.400E+0	22.400E+0	23.500E+0
2021-09-27 03:25:33	800.000E-9	2.940E+6	22.400E+0	22.400E+0	23.500E+0
2021-09-27 03:25:34	850.000E-9	3.150E+6	22.400E+0	22.400E+0	23.500E+0
2021-09-27 03:25:35	900.000E-9	3.360E+6	22.400E+0	22.400E+0	23.500E+0
2021-09-27 03:25:36	950.000E-9	3.570E+6	22.400E+0	22.400E+0	23.500E+0
2021-09-27 03:25:37	1.000E-6	3.690E+6	22.400E+0	22.400E+0	23.500E+0
